Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New Zealand,NZL,522,964,1205,1117,877,1131,1293,1100,1047,893,947,919,803,814,921,796,855,846,798
Nicaragua,NIC,13327,20947,19634,10659,4094,4009,3305,4145,3716,3614,4137,3565,3401,3046,3048,2886,3324,3486,3072
Niger,NER,12,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37,71,55,119,116
Nigeria,NGA,6742,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,14380,13539
North Korea,,,,,,,,,,0,0,67,35,36,49,48,142,55,47,32
Norway,NOR,307,459,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362,290
Oman,OMN,40,51,55,61,76,122,101,155,103,70,74,63,60,74,73,90,85,116,104
Pakistan,PAK,13485,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251,18612,18057,19313,17408
Palau,PLW,,3,,10,8,6,8,8,11,6,16,18,7,10,16,12,15,14,13
Panama,PAN,1640,1829,1867,1680,1164,1417,1815,2418,1916,1678,1806,1536,1374,1281,1234,1095,1052,1029,889
Papua New Guinea,PNG,14,21,26,26,34,19,44,30,31,15,19,30,20,21,27,18,11,23,18
Paraguay,PRY,216,338,401,356,207,328,516,719,545,481,530,467,500,467,448,391,382,434,391
Peru,PER,8414,9579,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247,14064,12609,12564,10606,10148,10940,10115
Philippines,PHL,30943,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446,49996,56478,53287,49147
Poland,POL,8773,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430,5689,5275,5603,4845
Portugal,PRT,1058,1343,1609,1313,808,1069,1125,1409,1019,772,946,755,821,811,918,892,857,1006,939
Qatar,QAT,78,97,125,108,72,125,174,226,138,151,134,148,193,141,191,202,229,272,224
Republic of Congo,COG,190,189,311,677,513,670,1064,1600,972,950,1563,968,1371,1461,1059,552,496,625,632
Moldova,MDA,753,1251,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981,2258,2021,2485,2341,2496,2929,2480
Romania,ROU,5678,6863,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003,3882,3748,3773,3246,3376,3554,2953
Russia,RUS,17343,20203,23020,23174,15007,18339,20954,19388,14516,16965,14149,11696,11631,11265,11017,10215,9821,10339,9857
Rwanda,RWA,97,73,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357,1394
St. Kitts and Nevis,KNA,463,500,463,342,310,299,342,458,347,363,310,339,350,311,259,263,222,250,238
St. Lucia,LCA,529,599,674,583,488,616,832,1212,928,946,1027,872,785,919,853,844,739,777,777
St. Vincent and the Grenadines,VCT,442,497,559,480,322,400,625,756,567,568,591,576,468,503,529,448,415,422,361
Samoa,WSM,91,184,165,157,178,203,173,283,290,227,250,219,267,238,237,239,207,219,194
Sao Tome and Principe,STP,1,8,,4,,9,8,6,7,7,11,10,9,12,6,5,6,12,10
Saudi Arabia,SAU,759,1063,1178,1014,735,906,1210,1542,1171,1194,1418,1263,1396,1343,1463,1696,1744,2117,2135
Senegal,SEN,368,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,1533,1470
Serbia,SRB,,,,,,,,,,,,20,244,704,866,1143,1278,1351,1410
Serbia,SRB,1886,2742,6203,10387,2994,3331,5202,5891,3586,3255,3166,2196,1398,801,653,267,232,202,144
Seychelles,SYC,10,18,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16,10
Sierra Leone,SLE,970,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,1535,2058
Singapore,SGP,355,668,1100,1033,582,966,1204,997,985,922,832,774,690,712,835,779,781,812,818
Sint Maarten,,,,,,,,,,,,,,,,,45,45,42,35
