,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
439,Guyana,336.0,GUY,3290.0,5719.0,8279.0,9938.0,6809.0,6351.0,9317.0,9552.0,5726.0,6823.0,6670.0,6749.0,6599.0,5683.0,5897.0,6267.0,5543.0,5771.0,5468.0,Latin America and the Caribbean
440,Haiti,263.0,HTI,16514.0,22337.0,27031.0,20213.0,12293.0,14191.0,14524.0,22226.0,30405.0,26007.0,24280.0,22582.0,22111.0,22818.0,20351.0,15274.0,16967.0,23584.0,21824.0,Latin America and the Caribbean
441,Honduras,268.0,HND,4793.0,5917.0,6571.0,6435.0,4645.0,5508.0,7012.0,8177.0,7646.0,6540.0,6404.0,6448.0,6133.0,6884.0,8898.0,8156.0,9274.0,13302.0,11387.0,Latin America and the Caribbean
442,Hong Kong SAR,532.0,HKG,4910.0,5407.0,8300.0,6075.0,3574.0,3951.0,3705.0,3256.0,3527.0,3373.0,2651.0,2432.0,2306.0,2104.0,2226.0,2278.0,2085.0,2510.0,2415.0,Asia
443,Hungary,944.0,HUN,694.0,1023.0,1263.0,1274.0,1021.0,1272.0,1567.0,1704.0,1266.0,1127.0,1314.0,1022.0,1044.0,1054.0,1052.0,996.0,1095.0,1048.0,972.0,Europe
444,Iceland,176.0,ISL,79.0,129.0,134.0,93.0,97.0,105.0,135.0,145.0,95.0,122.0,131.0,105.0,90.0,103.0,139.0,86.0,104.0,97.0,86.0,Europe
445,India,534.0,IND,30157.0,41903.0,70032.0,70823.0,50228.0,70151.0,84680.0,61369.0,65353.0,63352.0,57304.0,69162.0,69013.0,66434.0,68458.0,77908.0,64116.0,64687.0,60394.0,Asia
446,Indonesia,536.0,IDN,1186.0,1767.0,2525.0,2418.0,1805.0,2419.0,3924.0,4868.0,3716.0,3606.0,3679.0,3032.0,2856.0,2603.0,2731.0,2139.0,2084.0,2129.0,1914.0,Asia
447,Islamic Republic of Iran,429.0,IRN,7176.0,8487.0,10425.0,12960.0,7230.0,10434.0,13887.0,13947.0,10460.0,13852.0,18553.0,14182.0,14822.0,12916.0,12863.0,11615.0,13114.0,13298.0,13791.0,Asia
448,Iraq,433.0,IRQ,3360.0,5087.0,4965.0,5174.0,2450.0,3494.0,4077.0,4337.0,3765.0,4795.0,12110.0,19855.0,21133.0,20369.0,9552.0,19153.0,21107.0,18904.0,14203.0,Asia
449,Ireland,178.0,IRL,804.0,1296.0,1505.0,1398.0,983.0,1531.0,2088.0,1906.0,1503.0,1465.0,1637.0,1507.0,1371.0,1514.0,1626.0,1605.0,1607.0,1759.0,1485.0,Europe
450,Israel,436.0,ISR,1847.0,2783.0,3744.0,3826.0,2741.0,4160.0,5755.0,5943.0,4496.0,5851.0,5612.0,4515.0,3826.0,4153.0,3996.0,3805.0,3965.0,4142.0,3802.0,Asia
451,Italy,136.0,ITA,1512.0,2448.0,3096.0,2578.0,1644.0,2346.0,3066.0,3215.0,2569.0,2514.0,2892.0,2579.0,2443.0,2673.0,2960.0,3298.0,3544.0,4078.0,3655.0,Europe
452,Jamaica,343.0,JAM,14693.0,15949.0,15322.0,14835.0,13347.0,14430.0,18345.0,24976.0,19375.0,18477.0,21783.0,19825.0,19662.0,20705.0,19400.0,19026.0,17642.0,23350.0,21905.0,Latin America and the Caribbean
453,Japan,158.0,JPN,4202.0,7049.0,9578.0,8248.0,5971.0,7697.0,8768.0,8265.0,6748.0,6821.0,7690.0,6264.0,6161.0,6061.0,5925.0,5545.0,5395.0,5207.0,4635.0,Asia
454,Jordan,439.0,JOR,3269.0,3900.0,4572.0,3964.0,2927.0,3431.0,3748.0,4038.0,3917.0,3936.0,4282.0,3868.0,3876.0,4099.0,4188.0,5187.0,4664.0,5269.0,5264.0,Asia
