Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Côte d'Ivoire,662,CIV,1256.063,1017.796,879.167,754.947,732.212,719.026,926.032,980.695,981.953,903.102,960.018,897.075,917.389,826.888,604.249,776.945,833.759,784.715,822.892,787.07,664.259,676.153,726.988,878.415,925.951,931.407,945.846,1053.562,1222.774,1194.375,1193.214,1199.676,1220.329,1388.016,1528.191,1397.297,1450.918,1527.651
Croatia,960,HRV,,,,,,,,,,,,,2589.343,2804.481,3834.654,5027.779,5251.656,5243.58,5631.165,5132.691,4970.211,5409.891,6241.222,8051.027,9354.099,10208.612,11348.389,13550.444,15892.036,14159.41,13550.438,14579.303,13249.445,13664.967,13610.802,11779.008,12367.801,13382.057
Cyprus,423,CYP,4549.649,4352.558,4452.724,4399.28,4575.712,4824.737,6057.982,7188.31,8204.406,8635.877,10360.133,10413.861,12158.755,11342.555,12525.481,15397.119,15260.553,14324.09,15181.97,15379.994,14464.816,14904.894,16188.531,20389.337,23969.818,25527.252,27448.397,31774.607,36030.545,32635.742,31262.532,32692.864,29066.119,27825.717,27273.933,23248.193,24119.947,25954.833
Czech Republic,935,CZE,,,,,,,,,,,,,,,,5784.097,6490.091,5993.003,6453.428,6304.157,5997.685,6599.308,8028.361,9777.814,11687.92,13362.343,15206.395,18434.536,22819.462,19787.766,19831.401,21736.836,19739.899,19912.51,19768.84,17728.702,18485.235,20409.984
Denmark,128,DNK,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54665.215,57380.204
Djibouti,611,DJI,,,,,,,,,,,,929.131,934.386,886.101,909.389,895.477,864.577,855.79,851.679,870.939,871.161,880.352,884.072,905.262,934.845,967.29,1020.629,1094.968,1235.838,1240.597,1306.536,1433.171,1522.945,1592.86,1690.668,1788.363,1902.754,1988.765
Dominica,321,DMA,,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6975.991,7082.209,6868.992,7187.65,7466.584,7564.368,8220.134,7819.135
Dominican Republic,243,DOM,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6693.685,6903.42,7189.4,7482.487
Ecuador,248,ECU,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606
Egypt,469,EGY,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,906.804,978.537,1111.782,1221.885,1342.925,1469.317,1532.889,1642.629,1569.035,1356.683,1254.101,1195.373,1330.459,1563.479,1861.052,2270.356,2578.046,2921.757,3077.343,3383.113,3400.321,3524.418,3731.177,3686.07,2495.02
