Country,WEO,ISO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,946,LTU,,,,36160,33888,36303,37158,35514,38186,31458,33640,35001
Macedonia,,,,,,25429,26759,25981,26321,20237,28140,26277,26171,24670
Malaysia,548,MYS,,,,48459,65169,58268,55067,68956,70774,69308,78459,74451
Mexico,273,MEX,11541404,11738537,11412668,11478413,11711103,11672619,11563374,11584977,11714489,11643298,11573680,11269913
Moldova,921,MDA,,,,39122,33659,34152,41340,34913,41193,43564,42403,47156
Morocco,686,MAR,,,,58283,63165,62812,65247,63798,74435,71654,80384,84271
Nepal,558,NPL,,,,45304,69458,73528,85959,87456,109624,120886,129450,152685
Netherlands,138,NLD,90114,92782,85635,90594,85987,80789,79554,85085,83382,88580,79902,85739
Nicaragua,278,NIC,235734,230902,238224,253250,247593,241649,258400,240619,255233,256171,243024,262820
Nigeria,694,NGA,197489,185787,206604,209908,219309,226849,238796,234465,264399,323635,306874,344979
Norway,142,NOR,,,,26546,25637,26626,27022,28520,22798,24982,22669,23024
Pakistan,564,PAK,259282,286302,282483,283988,299581,303915,314331,342603,371359,379435,382852,391976
Panama,283,PAN,95684,102158,96128,103774,99419,103689,103269,101024,107299,103625,94958,106672
Peru,293,PER,382153,401129,384923,406910,428547,411829,426263,440292,448750,445921,427445,458785
Philippines,566,PHL,1638413,1701126,1684802,1725894,1777588,1813597,1868316,1843989,1926292,1982369,1941665,2008080
Poland,964,POL,499702,484777,478569,443173,475503,461618,440312,432601,424460,419332,424928,418775
Portugal,182,PRT,192316,198119,173303,203409,189333,183869,179619,182473,172922,176803,176638,172945
Romania,968,ROU,156318,168867,167966,178295,151767,164606,165819,157302,157315,159546,161629,165199
Russia,922,RUS,383077,403072,413370,403781,383166,399216,399128,390934,390977,386529,397236,403670
Saudi Arabia,456,SAU,,,,43166,45016,56238,69190,88894,86682,96783,99849,82201
Serbia,942,SRB,,,,,30715,30758,35765,36160,33628,36969,37654,38203
Sierra Leone,724,SLE,,,,32467,34935,33066,38564,37559,41171,42065,38101,40161
Singapore,576,SGP,,,,28723,26946,30608,31049,31293,30732,36252,28940,34604
Somalia,726,SOM,,,,,,,,,,89153,93020,106525
South Africa,199,ZAF,79472,78571,79585,82339,77985,87699,85528,95191,92218,94141,104889,111720
Spain,184,ESP,88150,79880,80858,80419,83242,91285,88665,102475,103689,108953,105975,117884
Sri Lanka,524,LKA,,,,42329,43585,45762,46411,51268,43071,52971,55049,49116
St. Vincent and the Grenadines,364,VCT,,,,18343,23088,22061,23218,23868,23075,22950,19897,23689
Sudan,732,SDN,,,,35821,44863,41552,46312,41018,33700,46037,39346,47075
Sweden,144,SWE,,,,41329,48366,47554,42726,44870,51232,46335,48294,43648
Switzerland,146,CHE,,,,40155,40007,37516,38702,41491,41504,37115,38144,36859
Syria,463,SYR,64110,54728,66077,60827,59554,64697,74902,78934,85737,82681,96694,104234
Taiwan Province of China,528,TWN,355025,359670,342444,347993,358460,364934,362578,365832,364595,377893,373943,391323
Thailand,578,THA,186526,195948,199075,203384,222759,239942,237050,233547,252477,247205,253585,256136
Trinidad and Tobago,369,TTO,231515,225528,225242,221067,229926,225115,239536,232026,220234,227295,242661,234534
Turkey,186,TUR,88826,93673,105225,105350,106271,96760,107948,109667,109408,116336,120745,117366
Ukraine,926,UKR,314355,311011,325780,320110,326493,340468,342971,345187,332145,345620,347759,354494
United Kingdom,112,GBR,691300,681285,687637,694597,669794,684573,679483,695489,679112,683473,696896,702567
Uruguay,298,URY,49517,50578,46855,42695,50176,44544,45065,43541,52516,43971,42181,50680
Uzbekistan,927,UZB,,,,49950,44636,51421,60438,48197,49181,65375,62713,58337
Venezuela,299,VEN,162524,155492,168592,157819,184039,189219,194287,197724,216187,255520,290224,351144
Vietnam,582,VNM,1117800,1100833,1138039,1152384,1240542,1259317,1258979,1281010,1291807,1300515,1352760,1342568
Yemen,474,YEM,,,,38079,40276,44096,41234,40548,44280,44337,61680,60608
Yugoslavia,,,119841,103921,108954,98642,97608,90296,,,,,,
