Country,WEO,ISO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pakistan,564,PAK,8209,,,,,,9062,9304,10246,9332,8906,9593,9466,9346,9614,9782,10048,10556,12059,12491,13190,13860,13846,13937,13276,9486,8516,8235
Panama,283,PAN,278,294,311,308,323,377,248,315,281,285,299,306,376,337,308,364,221,279,493,562,460,549,637,663,604,471,405,397
Peru,293,PER,,,,,,,,,,,,,,,,,,,,,,1617,1968,2013,2076,2247,2435,2487
Philippines,566,PHL,9281,8707,8293,7758,6446,,,,5913,5703,5735,5852,6553,6436,6344,6434,6200,5962,5820,9088,8645,8489,8484,9153,9756,9646,11379,8826
Palau,565,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,853,PNG,,,,,,,,,502,450,465,436,470,609,,603,610,520,603,697,713,,,,,,,
Poland,964,POL,679,849,857,905,917,853,873,807,759,741,855,776,716,662,633,555,490,525,326,387,384,422,409,305,287,298,260,287
Puerto Rico,359,PRI,600,817,864,954,995,864,868,724,652,593,695,747,781,787,797,771,748,730,815,901,1017,1164,1004,902,707,614,704,679
Portugal,182,PRT,155,152,143,140,143,109,106,114,125,109,116,105,119,149,144,135,155,185,124,130,124,114,122,144,92,100,66,76
Paraguay,288,PRY,,,,,,,,,,,995,1314,1372,1285,1209,887,742,783,833,821,741,657,649,604,578,617,599,
Qatar,453,QAT,4,4,6,4,5,,,,2,3,1,5,,,5,6,5,9,12,8,4,4,7,9,9,,,
Romania,968,ROU,796,826,839,737,776,758,722,693,561,566,581,597,563,551,516,453,438,416,470,397,404,335,378,336,298,291,247,286
Russia,922,RUS,21145,22621,33912,45060,47870,45257,39083,34995,33553,38225,41090,42921,44252,41764,39256,35636,28844,25377,23738,21371,,,16247,16033,16516,16646,15864,13293
Rwanda,714,RWA,,,,,,,,,,,,,,,,,319,268,144,,291,,256,359,428,293,,
Saudi Arabia,456,SAU,,,,,,,,,,184,173,229,285,250,301,297,255,265,,,,,,,,472,,419
Sudan,732,SDN,,,,,,,,,,,,,,,,,,1511,1702,,,,,,,,,
Senegal,722,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,576,SGP,47,51,43,58,49,54,33,38,40,39,41,32,31,27,20,21,17,18,27,20,19,16,11,17,14,14,18,11
Solomon Islands,813,SLB,,,,,,,,,,,,,,,20,26,23,26,19,,,,,,,,,
Sierra Leone,724,SLE,,,,,,,,,,,,,,,112,99,101,134,184,158,163,187,113,,,124,,
El Salvador,253,SLV,,,,,7673,7977,6792,6573,5584,3845,3551,3590,2835,3356,3897,3882,3927,3497,3179,4382,3987,4371,2594,2513,3921,6656,5276,3942
San Marino,135,SMR,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
Somalia,726,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
